,VEH1W
Cacybp,16.88386382
Cad,17.44855542
Cadm3,14.51335736
Calml3,19.31947162
Calr,19.79377331
Calu,18.58392041
Camk1,15.6802512
Camk2d,17.89471827
Camk2g,12.68825086
Camlg,13.08926499
Camp,14.11252704
Camsap2,11.66761388
Cand1,18.6533093
Canx,19.57780731
Cap1,19.08448467
Cap2,12.86745826
Capg,18.00711533
Capn1,18.14116332
Capn2,18.85389499
Capns1,16.49054209
Caprin1,17.30811428
Capza1,17.25524816
Capza2,17.95625411
Capzb,19.12734152
Carhsp1,16.77544937
Carkd,18.16124064
Cars,15.97322171
Caskin2,12.82691577
Casp7,13.56243694
Casp8,17.27743728
Cast,18.55314966
Cat,19.33606183
Cav1,19.9243655
Cav2,17.29745902
Cbfb,16.10016109
Cbl,15.81858969
Cbr1,18.19736642
Cbr2,18.42688832
Cbr3,16.09507112
Cbr4,16.07630077
Cbx1,15.47253618
Cbx3,17.54903333
Cc2d1b,16.87780805
Ccar1,16.76051076
Ccar2,16.68011758
Ccbl1,13.58688945
Ccbl2,15.08835076
Ccdc124,15.68928423
Ccdc127,14.94573595
Ccdc22,16.8121494
Ccdc47,14.78297324
Ccdc50,15.95333052
Ccdc51,12.88273787
Ccdc58,13.12570506
Ccdc80,12.36920974
Ccdc9,14.29891664
Ccdc91,15.03445836
Ccdc93,16.02651917
Ccs,15.12996621
Ccsmst1,11.38253838
Cct2,18.74059135
Cct3,18.6590134
Cct4,18.01207131
Cct5,18.81380387
Cct6a,18.30360904
Cct7,18.13347481
Cct8,19.30090251
Cd151,17.63063891
Cd200,14.86845643
Cd274,11.87863162
Cd2ap,18.04188179
Cd300lg,14.27825911
Cd34,16.50890823
Cd36,18.74049187
Cd38,16.12478521
Cd47,16.00462048
Cd5l,17.47744723
Cd81,16.1724178
Cd93,14.34121662
Cdc37,18.01195145
Cdc42,17.42758432
Cdc42bpb,17.25426539
Cdc42ep1,13.4992001
Cdc42ep4,15.2054395
Cdc5l,16.6582075
Cdh13,17.11346218
Cdh5,16.70539603
Cdk12,12.36836108
Cdk17,13.57143141
Cdk5,16.40093441
Cdk5rap3,15.10186499
Cdkal1,11.30823831
Cdkn2aip,10.69369867
Cdo1,15.63978076
Cds2,17.11984277
Cdv3,15.90932458
Cebpb,14.40650147
Cecr5,13.07021813
Celf2,16.69216977
Cenpv,16.36969992
Cept1,14.20754328
Cers2,16.05275725
Ces1c,19.02499927
Ces1d,20.0678779
Ces1f,17.67073979
Cfb,18.52409698
Cfd,15.43104865
Cfdp1,14.62705493
Cfh,19.06199699
Cfi,17.64130034
Cfl1,19.17925064
Cfl2,16.32930972
Cgnl1,13.55717049
Chchd2,11.77673047
Chchd3,17.64679035
Chchd6,16.92904715
Chd4,17.04686377
Chdh,17.14576351
Chkb,15.23381181
Chmp1a,16.17249827
Chmp1b2,15.80052586
Chmp2a,16.7640528
Chmp2b,13.7058419
Chmp3,14.21376015
Chmp4b,17.39025924
Chmp5,16.91208177
Chmp7,13.67885555
Chordc1,16.22048816
Chp1,17.0622726
Chpt1,15.66839315
Chtop,13.85324127
Ciao1,12.88729523
