,Status,Batch,pca_browning_score_PC1,pca_browning_score_PC2,lda_browning_score_Brown,lda_browning_score_White,lda_browning_score_Brown_lasso,lda_browning_score_White_lasso,rf_browning_score_Brown,rf_browning_score_White,lr_browning_score_Brown,lr_browning_score_White,lr_browning_score_Brown_markers,lr_browning_score_White_markers,Composite_Score
Johanna-Johanna-LFQ intensity 4446_22_PBS_f,Intermediate,Johanna,-31.729804563344075,75.39547275534129,1.0,1.8603201901030258e-57,0.0,1.0,0.49,0.51,0.19070463755613065,0.8092953624438693,0.0008895107516270206,0.999110489248373,48.66566819199721
Johanna-Johanna-LFQ intensity 4453_22_PBS_f,Intermediate,Johanna,-8.271650505812964,21.272002917044517,0.0,1.0,0.0,1.0,0.58,0.42,0.07978265997648348,0.9202173400235165,0.0029003656237339692,0.997099634376266,18.000352411231553
Johanna-Johanna-LFQ intensity 4454_22_PBS_f,Intermediate,Johanna,24.484584067768466,29.13594965846045,1.0,6.679568455571679e-296,0.0,1.0,0.52,0.48,0.041134274672836924,0.9588657253271631,2.0786226295754773e-08,0.9999999792137737,58.62053372622891
Johanna-Johanna-LFQ intensity 4455_22_PBS_f,Intermediate,Johanna,-27.821000067851053,71.87964856146031,1.0,4.667349714126924e-66,0.0,1.0,0.43,0.57,0.03290384349119191,0.9670961565088081,0.21053226856881246,0.7894677314311875,49.05864849360926
Johanna-Johanna-LFQ intensity 4456_22_PBS_m,Intermediate,Johanna,-17.089928940760508,31.29891802044157,1.0,0.0,0.0,1.0,0.51,0.49,0.2292147704452686,0.7707852295547314,0.9749646447975007,0.025035355202499353,19.208989079681064
Johanna-Johanna-LFQ intensity 4457_22_PBS_m,Intermediate,Johanna,-11.605625914439585,28.204791547199576,1.0,0.0,0.0,1.0,0.48,0.52,0.06943448796460683,0.9305655120353932,0.3659172241042621,0.6340827758957379,21.59916563275999
Johanna-Johanna-LFQ intensity 4458_22_PBS_m,Intermediate,Johanna,-18.984530469116635,44.4014705463356,1.0,2.3053436866626756e-262,0.0,1.0,0.46,0.54,0.02559910170386015,0.9744008982961399,1.4695800132358272e-11,0.9999999999853042,30.416940077218968
KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_1_1857,White,KristinaeWAT,-94.20199784684644,-21.626591773996438,0.0,1.0,0.0,1.0,0.0,1.0,0.0014948885288538216,0.9985051114711462,0.003726654110211447,0.9962733458897886,-110.82858962084288
KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_2_2127,White,KristinaeWAT,-54.765240113333235,0.5749891883991732,0.0,1.0,0.0,1.0,0.01,0.99,0.009526876223033609,0.9904731237769664,0.029263122176229728,0.9707368778237703,-49.19025092493406
KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_3_2145,White,KristinaeWAT,-125.81918920053047,-52.724443338812904,0.0,1.0,0.0,1.0,0.03,0.97,0.003719447462939174,0.9962805525370608,0.014560711685048244,0.9854392883149518,-173.54363253934338
KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_4_3253,White,KristinaeWAT,-87.27576102720931,-30.12638310546495,0.0,1.0,0.0,1.0,0.01,0.99,0.002806755771142866,0.9971932442288571,0.027016955492550232,0.9729830445074498,-112.40214413267427
KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_5_4222,White,KristinaeWAT,-93.41249582787147,-13.446204122325721,0.0,1.0,0.0,1.0,0.0,1.0,0.0020963494805286143,0.9979036505194714,0.02353342797702962,0.9764665720229704,-101.85869995019719
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_1_1096,White,KristinaeWAT,-62.256247477011044,-6.361925138246936,0.0,1.0,0.0,1.0,0.01,0.99,0.002748707964376207,0.9972512920356238,0.02411643990664647,0.9758835600933535,-63.618172615257976
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_2_1544,White,KristinaeWAT,-30.48660558926162,20.427885976188033,0.0,1.0,0.0,1.0,0.0,1.0,0.0013728675460339401,0.9986271324539661,0.013614839707926873,0.9863851602920731,-5.058719613073588
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_3_2005,White,KristinaeWAT,-125.15634099869857,-48.09941602261729,0.0,1.0,0.0,1.0,0.02,0.98,0.002799896376027289,0.9972001036239727,0.03679363947496139,0.9632063605250386,-168.25575702131584
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_4_3416,White,KristinaeWAT,-122.6477827441388,-40.4107859040415,0.0,1.0,0.0,1.0,0.01,0.99,0.0020169233682585386,0.9979830766317415,0.030131865637485822,0.9698681343625142,-158.05856864818028
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_5_4224,White,KristinaeWAT,-74.03139964893853,8.797484523721884,0.0,1.0,0.0,1.0,0.03,0.97,0.0009357879811867642,0.9990642120188132,0.01103413155198174,0.9889658684480183,-60.23391512521664
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_1_1106,White,KristinaeWAT,-18.801360729590396,23.624098912854258,0.0,1.0,0.0,1.0,0.03,0.97,0.003994109526987866,0.9960058904730121,0.019220152373311317,0.9807798476266887,9.822738183263862
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_2_1541,White,KristinaeWAT,-12.373158973138096,24.372989879005257,0.0,1.0,0.0,1.0,0.02,0.98,0.0028355871658304332,0.9971644128341696,0.0024190324481928593,0.9975809675518071,16.99983090586716
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_3_2002,White,KristinaeWAT,-24.60041655579082,23.107023237005272,0.0,1.0,0.0,1.0,0.03,0.97,0.0013443610905331527,0.9986556389094668,0.004113315022494346,0.9958866849775057,3.5066066812144534
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_4_3421,White,KristinaeWAT,-3.2775375541727696,29.468978250677107,0.0,1.0,0.0,1.0,0.05,0.95,0.008261115811360575,0.9917388841886394,0.005420433775820133,0.9945795662241799,31.191440696504337
KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_5_4226,White,KristinaeWAT,3.4511292853721858,13.086716872830072,0.0,1.0,0.0,1.0,0.03,0.97,0.005992188165728218,0.9940078118342718,0.03976595717381537,0.9602340428261846,21.537846158202257
KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_1_1427,Intermediate,KristinaiWAT,-53.93276686709597,7.708966553141278,0.0,1.0,0.0,1.0,0.24,0.76,0.0014088344582369183,0.9985911655417631,0.016100199956336048,0.983899800043664,-41.22380031395469
KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_2_1857,Intermediate,KristinaiWAT,-45.73095672403417,6.743458414619098,0.0,1.0,1.0,1.442029059822331e-220,0.19,0.81,0.0007236081210334477,0.9992763918789666,0.02022765735112997,0.97977234264887,-33.98749830941507
